filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km
task_grid_44.86_60.65.kml,44.86,60.65,4566.3,36.84
task_grid_44.76_61.05.kml,44.76,61.05,4554.4,10.88
task_grid_46.06_58.75.kml,46.06,58.75,4553.5,0.29
task_grid_45.76_59.75.kml,45.76,59.75,4475.6,18.12
task_grid_45.86_60.65.kml,45.86,60.65,4372.8,27.17
task_grid_43.56_60.05.kml,43.56,60.05,4364.2,6.42
task_grid_46.16_59.35.kml,46.16,59.35,4362.5,2.76
task_grid_46.06_60.35.kml,46.06,60.35,4342.7,18.21
task_grid_44.16_60.25.kml,44.16,60.25,4308.5,36.14
task_grid_46.16_60.75.kml,46.16,60.75,4271.9,1.19
task_grid_46.16_59.55.kml,46.16,59.55,4249.6,1.81
task_grid_45.86_60.75.kml,45.86,60.75,4247.2,24.35
task_grid_44.96_59.25.kml,44.96,59.25,4207.5,2.2
task_grid_43.66_60.45.kml,43.66,60.45,4206.6,7.31
task_grid_44.16_61.85.kml,44.16,61.85,4191.9,52.56
task_grid_45.96_60.15.kml,45.96,60.15,4183.3,29.34
task_grid_44.86_61.15.kml,44.86,61.15,4141.2,17.91
task_grid_45.76_60.05.kml,45.76,60.05,4140.6,41.13
task_grid_45.46_60.55.kml,45.46,60.55,4140.5,67.58
task_grid_44.06_60.35.kml,44.06,60.35,4070.7,28.8
task_grid_45.06_58.85.kml,45.06,58.85,4053.6,6.79
task_grid_45.56_59.95.kml,45.56,59.95,4027.6,42.64
task_grid_46.16_58.85.kml,46.16,58.85,4025.8,0.96
task_grid_45.86_59.65.kml,45.86,59.65,4015.8,11.74
task_grid_45.06_60.25.kml,45.06,60.25,4010.3,68.52
task_grid_44.06_61.65.kml,44.06,61.65,3996.4,41.89
task_grid_43.66_61.25.kml,43.66,61.25,3991.1,0.91
task_grid_45.06_60.85.kml,45.06,60.85,3977.0,47.19
task_grid_46.06_59.25.kml,46.06,59.25,3878.3,0.5
task_grid_45.86_59.95.kml,45.86,59.95,3853.6,33.7
task_grid_43.66_60.85.kml,43.66,60.85,3839.7,4.85
task_grid_44.66_61.45.kml,44.66,61.45,3813.5,1.89
task_grid_44.66_60.65.kml,44.66,60.65,3795.6,24.21
task_grid_43.76_60.05.kml,43.76,60.05,3763.6,24.06
task_grid_43.76_61.35.kml,43.76,61.35,3761.6,12.35
task_grid_45.86_59.25.kml,45.86,59.25,3752.3,7.31
task_grid_45.36_60.85.kml,45.36,60.85,3717.1,57.97
task_grid_44.96_60.35.kml,44.96,60.35,3712.2,61.67
task_grid_44.76_60.95.kml,44.76,60.95,3691.9,13.57
task_grid_45.06_58.95.kml,45.06,58.95,3682.1,2.4
task_grid_45.36_60.75.kml,45.36,60.75,3676.2,64.46
task_grid_43.56_59.95.kml,43.56,59.95,3673.7,9.31
task_grid_44.56_61.45.kml,44.56,61.45,3672.4,2.01
task_grid_44.46_59.15.kml,44.46,59.15,3660.0,16.04
task_grid_45.36_61.35.kml,45.36,61.35,3608.0,27.94
task_grid_45.76_59.65.kml,45.76,59.65,3596.7,10.77
task_grid_44.46_59.05.kml,44.46,59.05,3587.8,8.99
task_grid_46.26_59.55.kml,46.26,59.55,3564.3,4.1
task_grid_43.86_61.45.kml,43.86,61.45,3559.4,23.92
task_grid_46.36_60.15.kml,46.36,60.15,3540.4,9.19
task_grid_44.56_59.65.kml,44.56,59.65,3527.3,43.96
