filename,centroid_lat,centroid_lon,area_ha,low_risk_ha,moderate_risk_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_v6_45.81_60.36.kml,45.81,60.36,95.7,0.0,95.7,44.85,44.85,kazakhstan
task_grid_v6_46.11_59.56.kml,46.11,59.56,91.3,91.3,0.0,2.96,2.96,kazakhstan
task_grid_v6_45.61_59.56.kml,45.61,59.56,89.7,0.0,89.7,21.15,21.15,kazakhstan
task_grid_v6_45.61_59.06.kml,45.61,59.06,87.1,0.0,87.1,29.27,29.27,kazakhstan
task_grid_v6_46.01_60.46.kml,46.01,60.46,86.0,0.0,86.0,23.06,23.06,kazakhstan
task_grid_v6_45.81_60.26.kml,45.81,60.26,83.5,0.0,83.5,45.29,45.29,kazakhstan
task_grid_v6_46.51_61.46.kml,46.51,61.46,76.5,76.5,0.0,5.03,5.03,kazakhstan
task_grid_v6_44.91_61.76.kml,44.91,61.76,75.4,0.0,75.4,2.39,2.39,kazakhstan
task_grid_v6_44.81_61.56.kml,44.81,61.56,73.4,0.0,73.4,2.38,2.38,kazakhstan
task_grid_v6_44.61_61.16.kml,44.61,61.16,70.4,0.0,70.4,0.68,0.68,kazakhstan
task_grid_v6_46.41_61.36.kml,46.41,61.36,69.8,10.9,58.9,0.78,0.78,kazakhstan
task_grid_v6_44.71_61.36.kml,44.71,61.36,67.4,0.0,67.4,0.24,0.24,kazakhstan
task_grid_v6_46.41_60.36.kml,46.41,60.36,65.4,65.4,0.0,20.63,20.63,kazakhstan
task_grid_v6_44.51_61.06.kml,44.51,61.06,63.2,0.0,63.2,0.06,0.06,kazakhstan
task_grid_v6_45.61_60.56.kml,45.61,60.56,62.9,0.0,62.9,53.55,53.55,kazakhstan
task_grid_v6_46.11_60.96.kml,46.11,60.96,60.8,0.0,60.8,4.82,4.82,kazakhstan
task_grid_v6_44.71_60.96.kml,44.71,60.96,60.7,0.0,60.7,8.65,8.65,kazakhstan
task_grid_v6_44.61_60.96.kml,44.61,60.96,57.6,0.0,57.6,0.0,0.0,kazakhstan
task_grid_v6_44.71_61.16.kml,44.71,61.16,51.2,0.0,51.2,6.12,7.06,kazakhstan
