filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_45.05_61.18.kml,45.05,61.18,396.6,34.33,34.33,kazakhstan
task_grid_46.25_60.48.kml,46.25,60.48,390.5,3.13,3.13,kazakhstan
task_grid_46.25_60.58.kml,46.25,60.58,377.4,2.54,2.54,kazakhstan
task_grid_45.85_59.78.kml,45.85,59.78,376.7,20.43,20.43,kazakhstan
task_grid_45.65_61.48.kml,45.65,61.48,361.3,2.88,2.88,kazakhstan
task_grid_45.85_61.48.kml,45.85,61.48,358.2,2.22,2.22,kazakhstan
task_grid_46.15_59.58.kml,46.15,59.58,334.6,4.14,4.14,kazakhstan
task_grid_46.35_60.18.kml,46.35,60.18,319.0,10.36,10.36,kazakhstan
task_grid_45.15_61.28.kml,45.15,61.28,308.4,36.92,36.92,kazakhstan
task_grid_45.75_61.78.kml,45.75,61.78,298.2,2.71,2.71,kazakhstan
task_grid_44.75_60.38.kml,44.75,60.38,295.0,47.7,47.7,kazakhstan
task_grid_45.75_61.58.kml,45.75,61.58,293.7,1.84,1.84,kazakhstan
task_grid_46.35_60.28.kml,46.35,60.28,292.5,13.99,13.99,kazakhstan
task_grid_46.35_60.48.kml,46.35,60.48,279.1,14.2,14.2,kazakhstan
task_grid_46.25_59.88.kml,46.25,59.88,269.0,0.78,0.78,kazakhstan
task_grid_45.75_58.68.kml,45.75,58.68,257.9,3.68,3.68,kazakhstan
task_grid_46.35_60.58.kml,46.35,60.58,257.5,13.02,13.02,kazakhstan
task_grid_46.25_59.98.kml,46.25,59.98,229.8,0.98,0.98,kazakhstan
task_grid_44.45_60.88.kml,44.45,60.88,227.5,13.95,13.95,kazakhstan
task_grid_46.25_60.28.kml,46.25,60.28,220.5,2.94,2.94,kazakhstan
task_grid_45.65_58.98.kml,45.65,58.98,203.3,25.65,25.65,kazakhstan
task_grid_46.45_59.88.kml,46.45,59.88,198.2,1.51,1.51,kazakhstan
task_grid_45.95_58.78.kml,45.95,58.78,194.1,2.1,2.1,kazakhstan
task_grid_45.85_61.98.kml,45.85,61.98,186.9,1.85,1.85,kazakhstan
task_grid_45.05_60.18.kml,45.05,60.18,185.0,63.17,64.71,kazakhstan
task_grid_44.95_60.28.kml,44.95,60.28,181.3,65.29,65.29,kazakhstan
task_grid_46.25_60.38.kml,46.25,60.38,173.7,2.33,2.33,kazakhstan
task_grid_45.85_61.68.kml,45.85,61.68,159.5,0.99,0.99,kazakhstan
task_grid_45.65_58.68.kml,45.65,58.68,156.9,5.87,5.87,kazakhstan
task_grid_46.35_59.98.kml,46.35,59.98,154.2,0.64,0.64,kazakhstan
task_grid_45.85_58.68.kml,45.85,58.68,150.8,0.07,0.07,kazakhstan
task_grid_45.75_58.98.kml,45.75,58.98,145.0,17.1,17.1,kazakhstan
task_grid_45.85_58.78.kml,45.85,58.78,134.3,1.56,1.56,kazakhstan
task_grid_45.35_61.38.kml,45.35,61.38,131.3,25.5,25.5,kazakhstan
