pit_id,depth_top_cm,depth_bottom_cm,humus_pct,n_total_pct,c_n_ratio,co2_pct,caco3_pct,caso4_pct,exch_ca,exch_mg,exch_na,exch_k,exch_sum,p2o5_mobile,k2o_mobile,n_hydrolyzable,ph_water,src_year,salt_sum_salts_pct,salt_alk_hco3_pct,salt_alk_co3_pct,salt_cl_pct,salt_so4_pct,salt_ca_pct,salt_mg_pct,salt_na_pct,salt_k_pct,sand_1_0p25,sand_0p25_0p05,silt_0p05_0p01,silt_0p01_0p005,silt_0p005_0p001,clay_lt0p001,physical_clay_lt0p01,hygroscopic_water_pct,sand_pct,silt_pct,clay_pct,lat_dd,lon_dd,elevation_m,in_aoi,has_coordinates,coord_provenance,georeferenced
09/14,100.0,110.0,,,,6.4,14.6,,,,,,,,,,9.3,2014,,,,,,,,,,,,,,,,,,,,,45.60908333333334,61.77733333333333,32.4,True,True,surveyed,True
10/13,0.0,8.0,0.17,0.042,2.3,0.0,1.8,,4.0,2.5,0.91,0.36,7.8,12.0,340.0,22.4,9.1,2013,0.048,0.024,,0.001,0.009,0.004,0.001,0.005,0.004,11.81,69.18,4.45,5.66,6.07,2.83,14.56,1.12,80.99000000000001,16.18,2.83,,,,False,False,missing,False
10/13,15.0,25.0,0.14,0.014,5.8,1.2,2.8,,4.5,2.5,0.94,0.37,8.3,3.0,400.0,25.2,9.0,2013,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
10/13,30.0,40.0,0.12,0.014,5.0,0.9,1.9,0.03,3.25,2.5,0.99,0.17,6.9,3.0,300.0,19.6,9.2,2013,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
10/13,70.0,80.0,,,,1.6,3.6,0.07,,,,,,,,,9.2,2013,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
10А/12,0.0,2.0,2.34,0.11,12.1,6.3,,,11.5,43.5,3.21,0.44,58.7,17.0,2700.0,19.6,8.9,2012,14.839,0.027,0.005,5.796,3.906,0.882,0.536,3.5,0.192,6.06,12.57,57.36,6.92,2.44,14.65,24.0,1.68,18.63,66.72,14.65,46.029694444444445,60.93655555555555,39.0,True,True,surveyed,True
10А/12,2.0,12.0,1.04,0.08,7.2,7.8,,,9.25,32.0,1.38,0.52,43.2,20.0,1400.0,16.8,8.9,2012,,,,,,,,,,,,,,,,,,,,,46.029694444444445,60.93655555555555,39.0,True,True,surveyed,True
10А/12,12.0,22.0,0.67,0.06,6.9,9.3,,,10.0,16.0,0.63,0.84,27.5,27.0,1020.0,11.2,8.7,2012,,,,,,,,,,,,,,,,,,,,,46.029694444444445,60.93655555555555,39.0,True,True,surveyed,True
10А/12,22.0,32.0,,,,9.1,,,,,,,,,,,8.7,2012,,,,,,,,,,,,,,,,,,,,,46.029694444444445,60.93655555555555,39.0,True,True,surveyed,True
10А/12,35.0,45.0,,,,9.3,,,,,,,,,,,8.7,2012,,,,,,,,,,,,,,,,,,,,,46.029694444444445,60.93655555555555,39.0,True,True,surveyed,True
10А/12,90.0,100.0,,,,8.3,,,,,,,,,,,8.4,2012,,,,,,,,,,,,,,,,,,,,,46.029694444444445,60.93655555555555,39.0,True,True,surveyed,True
11/13,0.0,10.0,0.21,0.028,4.4,0.2,0.5,,5.0,2.5,1.04,0.38,8.9,60.0,530.0,25.2,8.2,2013,0.05,0.02,,0.003,0.012,0.003,0.001,0.008,0.003,31.86,45.38,6.1,7.32,2.03,7.32,16.67,1.62,77.24000000000001,15.45,7.32,46.141194444444444,61.42091666666666,50.0,True,True,surveyed,True
11/13,10.0,17.0,0.07,0.028,1.5,0.5,1.0,,4.5,3.5,1.38,0.05,9.4,200.0,830.0,19.6,8.0,2013,,,,,,,,,,,,,,,,,,,,,46.141194444444444,61.42091666666666,50.0,True,True,surveyed,True
11/13,19.0,29.0,0.14,0.028,2.9,0.7,1.5,0.3,7.5,4.0,1.46,0.07,13.0,15.0,550.0,19.6,8.3,2013,,,,,,,,,,,,,,,,,,,,,46.141194444444444,61.42091666666666,50.0,True,True,surveyed,True
11/14,0.0,10.0,0.68,0.042,9.4,9.7,22.1,,13.5,7.25,0.12,0.28,21.2,20.0,400.0,33.6,,2014,0.791,0.024,,0.049,0.495,0.048,0.058,0.107,0.01,1.12,23.07,23.52,8.11,22.7,21.49,52.3,1.3,24.19,54.33,21.49,45.569027777777784,61.75944444444445,31.6,True,True,surveyed,True
11/14,10.0,20.0,0.66,0.042,9.1,8.4,19.2,,13.0,8.25,0.45,0.32,22.0,20.0,560.0,36.4,,2014,,,,,,,,,,,,,,,,,,,,,45.569027777777784,61.75944444444445,31.6,True,True,surveyed,True
11/14,20.0,30.0,0.44,0.028,9.1,9.1,20.6,,12.75,6.0,0.05,0.25,19.1,7.0,330.0,28.0,,2014,,,,,,,,,,,,,,,,,,,,,45.569027777777784,61.75944444444445,31.6,True,True,surveyed,True
11/14,32.0,42.0,0.27,0.028,5.6,10.7,24.4,,10.25,5.0,1.05,0.24,16.5,,200.0,22.4,,2014,,,,,,,,,,,,,,,,,,,,,45.569027777777784,61.75944444444445,31.6,True,True,surveyed,True
11/14,80.0,90.0,,,,9.7,22.0,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,45.569027777777784,61.75944444444445,31.6,True,True,surveyed,True
11А/12,0.0,5.0,1.3,0.11,6.7,9.3,,,11.0,9.0,0.24,0.75,21.0,50.0,640.0,47.6,8.4,2012,1.455,0.027,,0.052,0.952,0.294,0.045,0.065,0.02,1.66,6.29,31.09,25.36,22.91,12.68,60.96,2.22,7.95,79.36,12.68,46.05777777777777,60.902944444444444,35.0,True,True,surveyed,True
11А/12,5.0,15.0,0.73,0.1,4.3,9.1,,,5.0,12.0,0.82,0.6,18.4,20.0,650.0,42.0,8.3,2012,,,,,,,,,,,,,,,,,,,,,46.05777777777777,60.902944444444444,35.0,True,True,surveyed,True
11А/12,15.0,25.0,0.53,0.06,5.5,9.0,,,9.0,5.5,0.98,0.52,16.0,12.0,530.0,33.6,8.2,2012,,,,,,,,,,,,,,,,,,,,,46.05777777777777,60.902944444444444,35.0,True,True,surveyed,True
11А/12,26.0,36.0,,,,9.0,,,,,,,,,,,8.1,2012,,,,,,,,,,,,,,,,,,,,,46.05777777777777,60.902944444444444,35.0,True,True,surveyed,True
11А/12,47.0,57.0,,,,8.9,,,,,,,,,,,8.6,2012,,,,,,,,,,,,,,,,,,,,,46.05777777777777,60.902944444444444,35.0,True,True,surveyed,True
11А/12,75.0,85.0,,,,9.0,,,,,,,,,,,8.6,2012,,,,,,,,,,,,,,,,,,,,,46.05777777777777,60.902944444444444,35.0,True,True,surveyed,True
12/13,0.0,5.0,0.21,0.042,2.9,2.4,5.3,,6.0,2.5,1.23,0.28,10.0,21.0,480.0,25.2,9.1,2013,0.071,0.032,0.002,,0.019,0.006,0.001,0.011,0.002,21.21,10.53,20.85,9.81,17.99,19.62,47.41,2.14,31.740000000000002,48.650000000000006,19.62,46.15247222222222,61.62083333333334,79.0,True,True,surveyed,True
12/13,7.0,17.0,0.14,0.028,2.9,3.3,7.4,,6.5,3.0,2.61,0.19,12.3,15.0,480.0,22.4,9.6,2013,,,,,,,,,,,,,,,,,,,,,46.15247222222222,61.62083333333334,79.0,True,True,surveyed,True
