pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
11,11/20А,chemistry_salinity_ions,59-74 см,59.0,74.0,,,0.4,0.024,4.4,0.156,11.4,0.55,9.2,0.184,2.8,0.034,2.691,0.062,1.916,0.075,1.08,16.222,16.607,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
11,11/20А,chemistry_salinity_ions,74-110 см,74.0,110.0,,,0.45,0.027,5.2,0.185,15.4,0.74,16.0,0.32,3.0,0.037,1.428,0.033,0.902,0.035,1.37,21.011,21.33,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
12,12/20А,chemistry_salinity_ions,0-1 см,0.0,1.0,,,0.45,0.027,0.36,0.013,0.0,0.0,0.4,0.008,0.2,0.002,0.141,0.003,0.027,0.001,0.06,0.814,0.768,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
12,12/20А,chemistry_salinity_ions,1-13 см,1.0,13.0,,,0.5,0.031,0.44,0.016,0.5,0.02,0.2,0.004,1.0,0.012,0.075,0.002,0.029,0.001,0.09,1.404,1.304,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
12,12/20А,chemistry_salinity_ions,13-39 см,13.0,39.0,,,0.4,0.024,0.44,0.016,0.8,0.04,1.0,0.02,0.4,0.005,0.111,0.003,0.061,0.002,0.11,1.676,1.572,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
12,12/20А,chemistry_salinity_ions,39-81 см,39.0,81.0,,,0.45,0.027,0.48,0.017,1.8,0.09,1.2,0.024,1.0,0.012,0.237,0.005,0.19,0.007,0.18,2.751,2.627,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
12,12/20А,chemistry_salinity_ions,81-110 см,81.0,110.0,,,0.45,0.027,0.96,0.034,3.4,0.16,1.6,0.032,1.6,0.02,1.318,0.03,0.35,0.014,0.32,4.806,4.868,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
12,12/20А,chemistry_salinity_ions,110-150 см,110.0,150.0,,,0.55,0.034,1.28,0.045,1.1,0.05,0.6,0.012,0.6,0.007,1.498,0.034,0.318,0.012,0.2,2.907,3.016,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
13,13/20А,chemistry_salinity_ions,0-16 см,0.0,16.0,,,0.3,0.018,32.4,1.15,43.8,2.1,7.2,0.144,12.0,0.146,55.313,1.272,1.484,0.058,4.89,76.507,75.997,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
13,13/20А,chemistry_salinity_ions,16-39 см,16.0,39.0,,,0.3,0.018,27.2,0.966,39.4,1.89,7.4,0.148,9.0,0.11,51.552,1.186,1.145,0.045,4.36,66.931,69.097,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
13,13/20А,chemistry_salinity_ions,39-55 см,39.0,55.0,,,0.4,0.024,5.28,0.187,7.7,0.37,1.4,0.028,2.2,0.027,9.558,0.22,0.318,0.012,0.87,13.387,13.476,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
13,13/20А,chemistry_salinity_ions,55-68 см,55.0,68.0,,,0.4,0.024,5.64,0.2,12.0,0.58,5.2,0.104,2.6,0.032,10.31,0.237,0.361,0.014,1.19,18.079,18.472,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
13,13/20А,chemistry_salinity_ions,68-75 см,68.0,75.0,,,0.35,0.021,13.52,0.48,13.2,0.64,4.2,0.084,5.8,0.071,17.081,0.393,0.522,0.02,1.7,27.113,27.603,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
13,13/20А,chemistry_salinity_ions,75-140 см,75.0,140.0,,,0.4,0.024,12.8,0.454,10.1,0.48,1.8,0.036,4.0,0.049,17.833,0.41,0.468,0.018,1.48,23.27,24.101,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
14,14/20А,chemistry_salinity_ions,0-3 см,0.0,3.0,,,0.45,0.027,2.36,0.084,7.0,0.34,3.4,0.068,1.0,0.012,5.045,0.116,0.275,0.011,0.65,9.817,9.72,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
14,14/20А,chemistry_salinity_ions,3-15 см,3.0,15.0,,,0.4,0.024,16.16,0.574,19.5,0.94,9.4,0.188,5.6,0.068,20.09,0.462,0.822,0.032,2.29,36.079,35.912,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
14,14/20А,chemistry_salinity_ions,15-100 см,15.0,100.0,,,0.45,0.027,10.0,0.355,22.4,1.07,5.2,0.104,5.6,0.068,21.594,0.497,0.64,0.025,2.15,32.813,33.034,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
15,15/20А,chemistry_salinity_ions,0-3 см,0.0,3.0,0.1,0.003,0.6,0.037,24.0,0.852,85.8,4.12,15.2,0.304,5.8,0.071,89.164,2.051,0.865,0.034,7.47,110.521,111.029,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
