№ п/п;Место отбора ;Место отбора (глубина);CO3,             ммоль (экв) /100 г;CO3,            %;HCO3,             ммоль (экв) /100 г;HCO3,             %;Cl,             ммоль (экв) /100 г;Cl, %;SO4, ммоль/  100 г;SO4, %;Ca,             ммоль (экв) /100 г;Ca,            %;Mg,             ммоль (экв) /100 г;Mg,            %;Na, ммоль (экв) /100 г;Na, %;К, ммоль (экв) /100 г;К, %;Соленость, %;Сумма анионов;Сумма катионов;;CO3,             ммоль (экв) /100 г;HCO3,             ммоль (экв) /100 г;Cl,             ммоль (экв) /100 г;SO4, ммоль/  100 г;Ca,             ммоль (экв) /100 г;Mg,             ммоль (экв) /100 г;Na, ммоль (экв) /100 г;К, ммоль (экв) /100 г
84;;36-78 см;-;-;0,500;0,031;14,400;0,511;10,7;0,51;2,600;0,052;2,800;0,034;19,715;0,453;0,286;0,011;1,61;25,626;25,401;20;0,1;0,33;83,73;67,5;16,73;29,6;12,05;2,96
85;;78-150 см;-;-;0,450;0,027;7,200;0,256;5,4;0,26;1,200;0,024;1,200;0,015;10,792;0,248;0,147;0,006;0,83;13,015;13,339;;0,1;0,35;67,5;60,2;13,5;24,15;102,29;2,78
86;Разрез 18;0-3 см;-;-;0,400;0,024;0,720;0,026;16,5;0,79;15,400;0,308;1,400;0,017;0,920;0,021;0,147;0,006;1,19;17,575;17,866;;;;;;;;;
87;;3-20 см;-;-;0,450;0,027;0,320;0,011;2,1;0,10;1,200;0,024;1,800;0,022;0,274;0,006;-;-;0,19;2,853;3,260;;;;;;;;;
88;;20-46 см;-;-;0,450;0,027;1,040;0,037;2,5;0,12;1,000;0,020;2,000;0,024;1,117;0,026;0,061;0,002;0,25;3,945;4,178;;;;;;;;;
89;;46-80 см;-;-;0,450;0,027;1,360;0,048;3,9;0,19;1,400;0,028;2,000;0,024;1,475;0,034;0,147;0,006;0,35;5,709;5,022;;;;;;;;;
90;;80-96 см;-;-;0,350;0,021;2,080;0,074;4,0;0,19;2,400;0,048;1,400;0,017;2,680;0,062;0,157;0,006;0,42;6,417;6,637;;;;;;;;;
91;;96-130 см;-;-;0,400;0,024;8,800;0,312;16,7;0,80;9,000;0,180;5,400;0,066;11,603;0,267;0,544;0,021;1,67;25,874;26,547;;;;;;;;;
92;Разрез 19 ;0-2 см;0,400;0,012;0,850;0,052;344,000;12,212;286,9;13,8;12,000;0,240;122,000;1,488;580,158;13,344;6,722;0,262;41,38;632,121;720,880;;;;;;;;;
93;;2-7 см;0,200;0,006;0,400;0,024;39,600;1,406;93,2;4,47;17,000;0,340;31,400;0,383;91,696;2,109;2,647;0,103;8,85;133,417;142,743;;;;;;;;;
94;;7-25 см;-;-;0,300;0,018;38,400;1,363;99,8;4,79;20,800;0,416;24,200;0,295;75,472;1,736;2,003;0,078;8,70;138,481;122,475;;;;;;;;;
95;;25-75 см;-;-;0,400;0,024;28,400;1,008;92,1;4,42;10,200;0,204;10,400;0,127;91,696;2,109;2,540;0,099;7,99;120,923;114,835;;;;;;;;;
96;;75-120 см;-;-;0,450;0,027;37,200;1,321;88,8;4,26;6,800;0,136;21,200;0,259;107,920;2,482;2,754;0,107;8,60;126,490;138,674;;;;;;;;;
97;Разрез 20;0-1 см;0,100;0,003;0,350;0,021;184,000;6,532;86,7;4,16;24,400;0,488;58,000;0,708;221,487;5,094;4,792;0,187;17,19;271,102;308,679;;;;;;;;;
98;;1-20 см;-;-;0,350;0,021;46,400;1,647;95,4;4,58;20,400;0,408;18,800;0,229;116,032;2,669;2,540;0,099;9,65;142,155;157,771;;;;;;;;;
99;;20-50 см;-;-;0,300;0,018;20,800;0,738;20,4;0,98;5,400;0,108;12,000;0,146;28,638;0,659;1,574;0,061;2,71;41,494;47,613;;;;;;;;;
100;;50-93 см;-;-;0,400;0,024;18,800;0,667;38,3;1,84;3,800;0,076;7,800;0,095;43,024;0,990;2,218;0,086;3,78;57,537;56,842;;;;;;;;;
101;;93-130 см;-;-;0,400;0,024;16,000;0,568;10,1;0,48;2,800;0,056;5,800;0,071;19,715;0,453;0,844;0,033;1,69;26,470;29,159;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0,06;0,07;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0,05;0,05;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0,04;0,05;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0,06;0,08;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0,06;0,14;;;;;;;;;;;;;;;
